"","artists.artist.name","artists.artist.playcount","artists.artist.listeners","artists.artist.mbid","artists.artist.url"
"1","The Weeknd","123311124","1597750","c8b03190-306c-4120-bb0b-6f2ebfc06ea9","https://www.last.fm/music/The+Weeknd"
"2","Taylor Swift","256135619","2472161","20244d07-534f-4eff-b4d4-930878889970","https://www.last.fm/music/Taylor+Swift"
"3","Kanye West","299890339","4635659","164f0d73-1234-4e2c-8743-d77bf2191051","https://www.last.fm/music/Kanye+West"
"4","Lady Gaga","338605430","4071993","650e7db6-b795-4eb5-a702-5ea2fc46c848","https://www.last.fm/music/Lady+Gaga"
"5","Dua Lipa","57830222","796119","","https://www.last.fm/music/Dua+Lipa"
"1","The Weeknd","123311124","1597750","c8b03190-306c-4120-bb0b-6f2ebfc06ea9","https://www.last.fm/music/The+Weeknd"
"2","Taylor Swift","256135619","2472161","20244d07-534f-4eff-b4d4-930878889970","https://www.last.fm/music/Taylor+Swift"
"3","Kanye West","299890339","4635659","164f0d73-1234-4e2c-8743-d77bf2191051","https://www.last.fm/music/Kanye+West"
"4","Lady Gaga","338605430","4071993","650e7db6-b795-4eb5-a702-5ea2fc46c848","https://www.last.fm/music/Lady+Gaga"
"5","Dua Lipa","57830222","796119","","https://www.last.fm/music/Dua+Lipa"
