"","Bairro","Votos","VotosPorcento"
"1","JARDIM SANTANA",403,12.51
"2","CENTRO",360,11.17
"3","PARQUE NOVO MUNDO",328,10.18
"4","VILA SANTA CATARINA",298,9.25
"5","CIDADE JARDIM II",235,7.29
"6","ANTONIO ZANAGA I",235,7.29
"7","VILA GALO",218,6.77
"8","PARQUE RESIDENCIAL JAGUARI",203,6.3
"9","JARDIM IPIRANGA",188,5.83
"10","VILA AMORIM",184,5.71
"11","MORADA DO SOL",171,5.31
"12","JARDIM SÃO PAULO",168,5.21
"13","JARDIM HELENA",164,5.09
"14","VILA JONES",160,4.97
"15","JARDIM PAULISTA",157,4.87
"16","PARQUE SÃO JERÔNIMO",150,4.66
"17","JARDIM PAULISTANO",149,4.62
"18","SAO MANOEL",146,4.53
"19","VILA MARGARIDA",141,4.38
"20","BRIEDS",136,4.22
"21","JARDIM AMERICA",133,4.13
"22","PARQUE GRAMADO",131,4.07
"23","PARQUE DAS NAÇÕES",131,4.07
"24","VILA MATHIENSEN",125,3.88
"25","JARDIM SAO VITO",123,3.82
"26","JARDIM SÃO DOMINGOS",121,3.76
"27","JARDIM BRASIL",115,3.57
"28","VILA DAINESE",110,3.41
"29","CONSERVA",89,2.76
"30","SAO LUIZ",87,2.7
"31","VILA CORDENONSI",86,2.67
"32","ANTONIO ZANAGA",80,2.48
"33","VILA MARIANA",80,2.48
"34","JARDIM DA PAZ",79,2.45
"35","ANTONIO ZANAGA II",77,2.39
"36","JARDIM ALVORADA",67,2.08
"37","PRAIA AZUL",63,1.96
"38","RECANTO JATOBA",57,1.77
"39","VILA NOSSA SENHORA DE FATIMA",55,1.71
"40","SAO BENEDITO",55,1.71
"41","JARDIM SÃO ROQUE",52,1.61
"42","JARDIM BRASÍLIA",49,1.52
"43","LOTEAMENTO INDUSTRIAL MACHADINHO",39,1.21
"44","JARDIM COLINA",33,1.02
"45","PROFILURB",20,0.62
"46","JARDIM DAS ORQUÍDEAS",17,0.53
"47","JARDIM MIRANDOLA",9,0.28
