"","Número","Candidato","Votos","VotosPorcento"
"1","50900","MONICA CRISTINA SEIXAS BONFIM",641,19.89
"2","50100","MARIANA CONTI TAKAHASHI",609,18.9
"3","50789","CARLOS ALBERTO GIANNASI",597,18.53
"4","50","Partido Socialismo e Liberdade",228,7.08
"5","50888","?RICA DA SILVA",169,5.25
"6","50180","ISADORA MARTINATTI PENNA",158,4.9
"7","50075","ANA CLAUDIA SILVA MIELKE",110,3.41
"8","50123","JOĂO PAULO RILLO",71,2.2
"9","50505","BRUNO VIEIRA MAIA",69,2.14
"10","50234","MADALENA SILVA SANTOS",68,2.11
"11","50002","ALEXYA LUCAS EVANGELISTA SALVADOR",51,1.58
"12","50069","HAILEY KAAS ALVES PEDRO DA SILVA",45,1.4
"13","50007","MARIA CAROLINA LUIZ RUBINATO",36,1.12
"14","50777","PAULO ROBERTO BUFALO",35,1.09
"15","50000","ANDERSON SEVERIANO GOMES",31,0.96
"16","50450","DJALMA NERY FERREIRA NETO",28,0.87
"17","50111","JORGE DAVID SALGADO",18,0.56
"18","50130","LEANDRO MOREIRA GONÇALVES",16,0.5
"19","50197","VALDIR JOSE UCHOA",16,0.5
"20","50005","TAMIRES DE SOUSA ARANTES",15,0.47
"21","50550","RAUL MARCELO DE SOUZA",15,0.47
"22","50333","LEONARDO MANOEL ALVES",14,0.43
"23","50018","MAYKON RODRIGUES DOS SANTOS",13,0.4
"24","50050","ANITA DE GUSM?O DAMI?O",13,0.4
"25","50300","JOAO LUIS DIAS ZAFALAO",12,0.37
"26","50420","ELY ITO RODRIGUES",12,0.37
"27","50800","IURIATAN FELIPE MUNIZ",12,0.37
"28","50444","ADEMILSON MIGUEL FERNANDES",11,0.34
"29","50500","RENATO BENTO LUIZ",11,0.34
"30","50650","ANTONIO BIAGIO VESPOLI",8,0.25
"31","50456","GISELE CRISTIANE VIEIRA",7,0.22
"32","50012","JESSICA MARQUES RIBEIRO",6,0.19
"33","50321","ROSANA BIGNAMI",6,0.19
"34","50021","THYAGO MARCONDES",5,0.16
"35","50051","PALOMA APARECIDA SOARES",5,0.16
"36","50070","JOSELICIO FREITAS DOS SANTOS JUNIOR",5,0.16
"37","50750","REJANE DE MOURA",5,0.16
"38","50190","BRUNO LOZZI DA COSTA",4,0.12
"39","50222","MAIRA MACHADO RODRIGUES",4,0.12
"40","50019","RONALDO DA CRUZ BRAGAN?A",3,0.09
"41","50518","CRISTIANE GANDOLFI",3,0.09
"42","50813","ANGELA CRISTINA ALVES DE AZEVEDO",3,0.09
"43","50917","C?LIO PELICIARI DE PAULA JÚNIOR",3,0.09
"44","50950","JOSE HERMENEGILDO DE MARTIN",3,0.09
"45","50001","ALEXANDRE PINHEIRO COSTA",2,0.06
"46","50010","GENIVAL CALIXTO DA COSTA",2,0.06
"47","50080","LUCAS DE PAULA LANDIN",2,0.06
"48","50479","SIDNEI APARECIDO GARCIA",2,0.06
"49","50501","FERNANDO ANTONIO FERREIRA",2,0.06
"50","50700","FABIANO DE CARVALHO BATISTA",2,0.06
"51","50848","LUZIANE DIAS SIMĂO",2,0.06
"52","50881","DANIEL BELARMINO",2,0.06
"53","50013","EDINALDO DOS SANTOS MACEDO",1,0.03
"54","50030","SANDRO VINICIUS ORTEGA NICODEMO",1,0.03
"55","50033","SIRLEI PEREIRA LIMA GOBI",1,0.03
"56","50077","C?SSIO ALBERTO DO NASCIMENTO",1,0.03
"57","50090","FRANCISCO GILBERTO DA SILVA",1,0.03
"58","50122","ANSELMO PIRES DA SILVA NETO",1,0.03
"59","50133","MARCELO REINA SILIANO",1,0.03
"60","50350","PEDRO HENRIQUE TERUJI JERONIMO MINAMIDANI",1,0.03
"61","50678","ANDRÉ SAPANOS DE CARVALHO",1,0.03
"62","50720","WLISSES DANIEL SILVA CABRAL",1,0.03
"63","50787","EDUARDO VICENTE DA FONSECA",1,0.03
"64","50850","JOĂO VITOR DIAMANTINO CORR?A BARBOSA",1,0.03
